crop_name,date,farm_price,retail_price_pettah,retail_price_dambulla,average_spread,year,month,spread_pct,dambulla_premium,month_sin,month_cos
Beans,2000-01-01,50.64,64.7,65.25,14.34,2000,1,28.31747962583012,0.5499999999999972,0.49999999999999994,0.8660254037844387
Beans,2000-02-01,47.56,62.8,64.52,16.1,2000,2,33.851905273538115,1.7199999999999989,0.8660254037844386,0.5000000000000001
Beans,2000-03-01,55.79,72.08,73.53,17.02,2000,3,30.507204683268174,1.4500000000000028,1.0,6.123233995736766e-17
Beans,2000-04-01,55.54,72.53,71.72,16.58,2000,4,29.852304911226295,-0.8100000000000023,0.8660254037844387,-0.49999999999999983
Beans,2000-05-01,46.64,59.6,64.71,15.51,2000,5,33.25464568043379,5.109999999999992,0.49999999999999994,-0.8660254037844387
Beans,2000-06-01,53.84,69.66,74.2,18.09,2000,6,33.59949182858129,4.540000000000006,1.2246467991473532e-16,-1.0
Beans,2000-07-01,42.95,53.38,53.71,10.6,2000,7,24.679802840971263,0.3299999999999983,-0.4999999999999998,-0.8660254037844388
Beans,2000-08-01,46.73,65.21,59.48,15.61,2000,8,33.40459361311018,-5.729999999999997,-0.8660254037844384,-0.5000000000000004
Beans,2000-09-01,47.85,64.9,63.68,16.44,2000,9,34.35729496908053,-1.220000000000006,-1.0,-1.8369701987210297e-16
Beans,2000-10-01,44.2,54.79,60.06,13.22,2000,10,29.909434594039375,5.270000000000003,-0.8660254037844386,0.5000000000000001
Beans,2000-11-01,51.53,66.44,67.0,15.19,2000,11,29.477916790380764,0.5600000000000023,-0.5000000000000004,0.8660254037844384
Beans,2000-12-01,45.46,60.89,64.4,17.19,2000,12,37.813379205061146,3.510000000000005,-2.4492935982947064e-16,1.0
Beans,2001-01-01,58.04,70.39,72.81,13.56,2001,1,23.363157541079357,2.4200000000000017,0.49999999999999994,0.8660254037844387
Beans,2001-02-01,55.2,69.92,76.99,18.25,2001,2,33.06153430881466,7.069999999999993,0.8660254037844386,0.5000000000000001
Beans,2001-03-01,56.36,77.03,76.13,20.22,2001,3,35.87644450595368,-0.9000000000000057,1.0,6.123233995736766e-17
Beans,2001-04-01,58.46,72.71,82.88,19.33,2001,4,33.06528726430505,10.170000000000002,0.8660254037844387,-0.49999999999999983
Beans,2001-05-01,53.66,68.43,73.84,17.48,2001,5,32.57541450724094,5.409999999999997,0.49999999999999994,-0.8660254037844387
Beans,2001-06-01,55.65,77.84,76.97,21.76,2001,6,39.10145714023874,-0.8700000000000045,1.2246467991473532e-16,-1.0
Beans,2001-07-01,58.58,73.25,76.99,16.54,2001,7,28.234844255984537,3.739999999999995,-0.4999999999999998,-0.8660254037844388
Beans,2001-08-01,55.64,74.15,73.93,18.4,2001,8,33.069674569240526,-0.21999999999999886,-0.8660254037844384,-0.5000000000000004
Beans,2001-09-01,48.03,64.79,60.28,14.51,2001,9,30.210222339741115,-4.510000000000005,-1.0,-1.8369701987210297e-16
Beans,2001-10-01,51.34,64.22,73.61,17.57,2001,10,34.222761545069055,9.39,-0.8660254037844386,0.5000000000000001
Beans,2001-11-01,47.57,63.41,68.56,18.42,2001,11,38.72180214042014,5.150000000000006,-0.5000000000000004,0.8660254037844384
Beans,2001-12-01,54.05,66.99,76.73,17.81,2001,12,32.95091035909277,9.740000000000009,-2.4492935982947064e-16,1.0
Beans,2002-01-01,62.01,79.95,88.9,22.42,2002,1,36.1554004912103,8.950000000000003,0.49999999999999994,0.8660254037844387
Beans,2002-02-01,57.23,77.13,82.22,22.44,2002,2,39.21013592497655,5.090000000000003,0.8660254037844386,0.5000000000000001
Beans,2002-03-01,58.92,81.57,75.63,19.68,2002,3,33.40116530691563,-5.939999999999998,1.0,6.123233995736766e-17
Beans,2002-04-01,65.98,82.71,83.01,16.88,2002,4,25.583471380007,0.30000000000001137,0.8660254037844387,-0.49999999999999983
Beans,2002-05-01,55.05,70.56,70.84,15.65,2002,5,28.428649539237895,0.28000000000000114,0.49999999999999994,-0.8660254037844387
Beans,2002-06-01,59.67,82.74,84.65,24.02,2002,6,40.25466691022807,1.9100000000000108,1.2246467991473532e-16,-1.0
Beans,2002-07-01,50.95,70.91,73.4,21.2,2002,7,41.60933933397579,2.490000000000009,-0.4999999999999998,-0.8660254037844388
Beans,2002-08-01,59.16,74.12,77.04,16.42,2002,8,27.75519311157351,2.9200000000000017,-0.8660254037844384,-0.5000000000000004
Beans,2002-09-01,54.1,68.43,74.24,17.24,2002,9,31.866854220232486,5.809999999999988,-1.0,-1.8369701987210297e-16
Beans,2002-10-01,59.37,74.7,82.4,19.18,2002,10,32.30582397536807,7.700000000000003,-0.8660254037844386,0.5000000000000001
Beans,2002-11-01,50.92,66.74,65.5,15.2,2002,11,29.850687645939416,-1.2399999999999949,-0.5000000000000004,0.8660254037844384
Beans,2002-12-01,54.64,68.53,76.63,17.94,2002,12,32.83302922212807,8.099999999999994,-2.4492935982947064e-16,1.0
Beans,2003-01-01,66.17,81.5,91.92,20.54,2003,1,31.041210456082126,10.420000000000002,0.49999999999999994,0.8660254037844387
Beans,2003-02-01,55.62,76.11,77.37,21.12,2003,2,37.97188426486108,1.2600000000000051,0.8660254037844386,0.5000000000000001
Beans,2003-03-01,58.14,72.13,83.09,19.47,2003,3,33.488074495915896,10.960000000000008,1.0,6.123233995736766e-17
Beans,2003-04-01,63.25,79.7,80.59,16.9,2003,4,26.719325344940163,0.8900000000000006,0.8660254037844387,-0.49999999999999983
Beans,2003-05-01,60.67,83.78,83.21,22.82,2003,5,37.61325595309716,-0.5700000000000074,0.49999999999999994,-0.8660254037844387
Beans,2003-06-01,61.91,75.0,88.0,19.59,2003,6,31.642656044813368,13.0,1.2246467991473532e-16,-1.0
Beans,2003-07-01,59.47,77.57,78.69,18.66,2003,7,31.377112195876585,1.1200000000000045,-0.4999999999999998,-0.8660254037844388
Beans,2003-08-01,57.78,76.14,73.75,17.16,2003,8,29.698806336437627,-2.3900000000000006,-0.8660254037844384,-0.5000000000000004
Beans,2003-09-01,62.78,78.82,84.96,19.11,2003,9,30.43958196944573,6.140000000000001,-1.0,-1.8369701987210297e-16
Beans,2003-10-01,51.99,66.34,72.02,17.19,2003,10,33.06398718217507,5.679999999999993,-0.8660254037844386,0.5000000000000001
Beans,2003-11-01,54.58,75.51,76.8,21.58,2003,11,39.53821997394654,1.289999999999992,-0.5000000000000004,0.8660254037844384
Beans,2003-12-01,53.94,73.65,69.48,17.63,2003,12,32.6844036255031,-4.170000000000002,-2.4492935982947064e-16,1.0
Beans,2004-01-01,61.34,74.93,82.85,17.55,2004,1,28.61097389798843,7.9199999999999875,0.49999999999999994,0.8660254037844387
Beans,2004-02-01,69.08,96.05,91.5,24.7,2004,2,35.75559386856707,-4.549999999999997,0.8660254037844386,0.5000000000000001
Beans,2004-03-01,76.45,100.65,97.16,22.46,2004,3,29.378640446513476,-3.490000000000009,1.0,6.123233995736766e-17
Beans,2004-04-01,70.89,93.28,100.75,26.12,2004,4,36.84576548770562,7.469999999999999,0.8660254037844387,-0.49999999999999983
Beans,2004-05-01,66.47,82.51,93.21,21.39,2004,5,32.17988238320689,10.699999999999989,0.49999999999999994,-0.8660254037844387
Beans,2004-06-01,61.98,74.91,84.72,17.84,2004,6,28.7834321015939,9.810000000000002,1.2246467991473532e-16,-1.0
Beans,2004-07-01,69.75,85.0,98.73,22.12,2004,7,31.713216181768917,13.730000000000004,-0.4999999999999998,-0.8660254037844388
Beans,2004-08-01,59.34,74.02,75.57,15.45,2004,8,26.036356527879118,1.5499999999999972,-0.8660254037844384,-0.5000000000000004
Beans,2004-09-01,64.12,85.25,81.62,19.31,2004,9,30.115361641669296,-3.6299999999999955,-1.0,-1.8369701987210297e-16
Beans,2004-10-01,59.34,78.67,84.01,22.0,2004,10,37.07442353484405,5.340000000000003,-0.8660254037844386,0.5000000000000001
