crop_name,date,farm_price,retail_price_pettah,retail_price_dambulla,average_spread,year,month,spread_pct,dambulla_premium,month_sin,month_cos,temp_mean,temp_max,temp_min,rain_sum,rain_days,sunshine_mean_hours,radiation_mean,et0_mean,wind_speed_max,farm_price_lag1,farm_price_lag2,farm_price_lag3,farm_price_ma3,rain_sum_lag1,rain_sum_lag2,temp_mean_lag1
Beans,2010-01-01,88.38,121.54,127.95,36.37,2010,1,41.151797746325244,6.409999999999997,0.49999999999999994,0.8660254037844387,24.38219832735962,33.2,13.1,74.89629629629628,11.555555555555555,10.191066301606265,18.25299880525687,3.817479091995221,31.1,88.38,88.38,88.38,88.38,74.89629629629628,74.89629629629628,24.38219832735962
Beans,2010-02-01,99.78,119.77,138.79,29.5,2010,2,29.565013464608676,19.019999999999996,0.8660254037844386,0.5000000000000001,25.346428571428575,36.5,12.6,27.08888888888889,5.0,10.081776940035274,20.48521164021164,4.425886243386243,31.2,88.38,88.38,88.38,94.08,74.89629629629628,74.89629629629628,24.38219832735962
Beans,2010-03-01,94.49,128.47,136.98,38.24,2010,3,40.46984816398756,8.509999999999991,1.0,6.123233995736766e-17,26.880884109916366,37.2,12.9,62.329629629629636,9.666666666666666,10.952022939068101,22.906750298685782,5.054336917562724,28.3,99.78,88.38,88.38,94.21666666666665,27.08888888888889,74.89629629629628,25.346428571428575
Beans,2010-04-01,96.26,127.23,139.19,36.95,2010,4,38.38558239602909,11.959999999999994,0.8660254037844387,-0.49999999999999983,26.98037037037037,36.3,15.0,183.96666666666667,21.77777777777778,10.057895030864195,20.685123456790123,4.393654320987655,28.8,94.49,99.78,88.38,96.84333333333332,62.329629629629636,27.08888888888889,26.880884109916366
Beans,2010-05-01,85.56,106.08,122.74,28.85,2010,5,33.718988173225604,16.659999999999997,0.49999999999999994,-0.8660254037844387,26.86762246117085,35.5,15.9,171.74074074074073,22.51851851851852,9.573050126111776,18.505292712066908,4.026881720430108,48.0,96.26,94.49,99.78,92.10333333333334,183.96666666666667,62.329629629629636,26.98037037037037
Beans,2010-06-01,104.19,130.7,150.34,36.33,2010,6,34.8689558796853,19.640000000000015,1.2246467991473532e-16,-1.0,26.621975308641975,37.0,16.0,161.88888888888889,20.51851851851852,9.854107297668039,18.50595061728395,4.217641975308642,47.1,85.56,96.26,94.49,95.33666666666666,171.74074074074073,183.96666666666667,26.86762246117085
Beans,2010-07-01,93.76,114.16,132.8,29.72,2010,7,31.697918410923194,18.640000000000015,-0.4999999999999998,-0.8660254037844388,26.288530465949822,35.5,14.8,127.11111111111111,19.666666666666668,9.882708134209476,18.813775388291518,4.249342891278375,40.1,104.19,85.56,96.26,94.50333333333333,161.88888888888889,171.74074074074073,26.621975308641975
Beans,2010-08-01,114.5,155.95,161.81,44.38,2010,8,38.75979147616465,5.860000000000014,-0.8660254037844384,-0.5000000000000004,26.09295101553166,36.0,14.8,145.3,19.40740740740741,9.287111814682067,17.983154121863798,4.0579689366786145,40.0,93.76,104.19,85.56,104.14999999999999,127.11111111111111,161.88888888888889,26.288530465949822
Beans,2010-09-01,80.21,104.01,111.39,27.49,2010,9,34.27249186823106,7.3799999999999955,-1.0,-1.8369701987210297e-16,25.68567901234568,35.3,14.6,185.2185185185185,21.962962962962962,8.915182475994513,18.153679012345677,3.9281604938271606,37.0,114.5,93.76,104.19,96.15666666666668,145.3,127.11111111111111,26.09295101553166
Beans,2010-10-01,85.22,112.47,107.9,24.97,2010,10,29.30059927176804,-4.569999999999993,-0.8660254037844386,0.5000000000000001,25.488291517323777,36.2,12.8,210.63703703703703,19.333333333333332,9.755867881322182,18.504074074074072,3.9231541218637993,37.9,80.21,114.5,93.76,93.31,185.2185185185185,145.3,25.68567901234568
